"Title","Last update","Geolocation","Main location","Action area","twitter account","website","Post date"
"Building Radar ","2020-04-15","","","Vertical applications, Construction","","https://buildingradar.com/","2020-04-15"
"Correvate","2020-04-15","","","Vertical applications, Construction","","https://correvate.co.uk/","2020-04-15"
"Emporis","2020-04-15","","","Vertical applications, Construction","","http://www.emporis.com/","2020-04-15"
"AlgoTecture","2020-04-15","","","Vertical applications, Construction","","https://algotecture.github.io/","2020-04-15"
"built[t]","2020-04-15","","","Vertical applications, Construction","","http://www.builtt.com/","2020-04-15"
"AGILE customer insight","2020-04-15","","","Vertical applications","","http://www.agile.ci/","2020-04-15"
"BitPhy","2020-04-15","","","Vertical applications","","https://bitphy.es/","2020-04-15"
"DeepNeed","2020-04-15","","","Vertical applications","","https://www.deepneed.ai/","2020-04-15"
"Local Data Company","2020-04-15","","","Vertical applications","","http://www.localdatacompany.com/","2020-04-15"
"ONAIR SHOPPING","2020-04-15","","","Vertical applications","","http://www.onairshopping.es/","2020-04-15"
"Shift Commerce","2020-04-15","","","Vertical applications","","https://www.shiftcommerce.com/","2020-04-15"
"ShopAI.co","2020-04-15","","","Vertical applications","","https://shopai.co/","2020-04-15"
"Walkbase","2020-04-15","","","Vertical applications","","http://www.walkbase.com/","2020-04-15"
"Target2Sell","2020-04-15","","","Vertical applications","","https://www.target2sell.com/en/","2020-04-15"
"Shoppar Ltd","2020-04-15","","","Vertical applications","","http://shoppar.ai/","2020-04-15"
"Netwave","2020-04-15","","","Vertical applications","","http://www.netwave.eu/","2020-04-15"
"TicTag","2020-04-15","","","Vertical applications","","http://www.tic-tag.com/","2020-04-15"
"Convert Group","2020-04-15","","","Vertical applications","","http://convertgroup.com/","2020-04-15"
"Domo-Reto","2020-04-15","","","Vertical applications","","https://www.domo-reto.fr/","2020-04-15"
"Analitza Customer Intelligence","2020-04-15","","","Vertical applications","","https://www.analitza.com/","2020-04-15"
"isoSize","2020-04-15","","","Vertical applications","","http://isosize.com/","2020-04-15"
"eSmartIT","2020-04-15","","","Vertical applications","","https://www.esmartit.es/","2020-04-15"
"Boldplaces","2020-04-15","","","Vertical applications","","http://www.boldplaces.com/","2020-04-15"
"Camato","2020-04-15","","","Vertical applications","","https://camato.io/","2020-04-15"
"door2door","2020-04-15","","","Vertical applications, Transport and Storage","","https://www.door2door.io/","2020-04-15"
"Pect","2020-04-15","","","Vertical applications, Other Support services","","http://www.pect.nl/","2020-04-15"
"Auquan","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","http://auquan.com/","2020-04-15"
"Unikum.net","2020-04-15","","","Vertical applications, Education","","http://www.unikum.net/","2020-04-15"
"HT2 Labs","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Education","","https://www.ht2labs.com/","2020-04-15"
"Fluency","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Education","","http://www.fluency.io/","2020-04-15"
"Orvium","2020-04-15","","","Vertical applications, Education","","https://orvium.io/","2020-04-15"
"Clockworks","2020-04-15","","","Vertical applications, Education","","https://www.clockworks.co/","2020-04-15"
"Ludwig","2020-04-15","","","Vertical applications, Education","","https://ludwig.guru/","2020-04-15"
"Profila","2020-04-15","","","Vertical applications, Education","","https://profila.com/","2020-04-15"
"Prometheus","2020-04-15","","","Vertical applications, Education","","http://prometheus-en.strikingly.com/","2020-04-15"
"CCKF","2020-04-15","","","Vertical applications, Education","","http://realizeitlearning.com/","2020-04-15"
"Readlax","2020-04-15","","","Vertical applications, Education","","https://www.readlax.com/","2020-04-15"
"V7","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Education",""," https://www.v7labs.com/","2020-04-15"
"Phonal AI","2020-04-15","","","Vertical applications, Education","","https://phonal.ai/","2020-04-15"
"Herrmann Global","2020-04-15","","","Vertical applications, Education","","http://www.herrmannsolutions.com/","2020-04-15"
"Pipo app","2020-04-15","","","Vertical applications, Education","","http://pipo.io/","2020-04-15"
"Asure ","2020-04-15","","","Vertical applications, Other","","https://www.asure.io/?s=c","2020-04-15"
"Yokai","2020-04-15","","","Vertical applications, Other","","https://yokai.ai/","2020-04-15"
"Tropos.io","2020-04-15","","","Vertical applications, Other Support services","","http://www.tropos.io/","2020-04-15"
"AttendApp","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Other","","http://attendapp.org/","2020-04-15"
"Serious VR","2020-04-15","","","Vertical applications, Education","","http://www.serious-vr.com/","2020-04-15"
"wizdom","2020-04-15","","","Vertical applications, Education","","https://www.wizdom.ai/","2020-04-15"
"Knoyd","2020-04-15","","","Vertical applications, Professional Services","","http://www.knoyd.com/","2020-04-15"
"Aficionado Technologies","2020-04-15","","","Vertical applications, Education","","http://www.aficionado.ie/","2020-04-15"
"Lionsolver","2020-04-15","","","Vertical applications, Education","","http://lionoso.org/","2020-04-15"
"Dmlab","2020-04-15","","","Vertical applications, Professional Services","","http://dmlab.hu/english","2020-04-15"
"Woogie","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Professional Services","","http://www.woogie.io/","2020-04-15"
"INTELTEQ","2020-04-15","","","Vertical applications, Other","","http://www.intelteq.com/","2020-04-15"
"Choister","2020-04-15","","","Vertical applications, Education","","http://choister.com/","2020-04-15"
"ILNumerics","2020-04-15","","","Vertical applications, Education","","http://ilnumerics.net/","2020-04-15"
"Teastock","2020-04-15","","","Vertical applications, Financial Services","","https://teastock.io/","2020-04-15"
"GeoPhy","2020-04-15","","","Vertical applications, Financial Services","","http://www.geophy.com/","2020-04-15"
"Fraugster","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","https://fraugster.com/","2020-04-15"
"Neudata","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","https://www.neudata.co/","2020-04-15"
"FriendlyScore","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","http://www.friendlyscore.com/","2020-04-15"
"Bankify","2020-04-15","","","Vertical applications, Financial Services","","http://www.bankify.io/","2020-04-15"
"Metafused","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","http://www.metafused.com/","2020-04-15"
"KITE EDGE LTD","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","http://www.kiteedge.co.uk/","2020-04-15"
"Kodiak Rating","2020-04-15","","","Vertical applications, Financial Services","","http://www.kodiakrating.com/","2020-04-15"
"AlliedCrowds","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","http://www.alliedcrowds.com/","2020-04-15"
"Lowell Group","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","http://www.lowellgroup.co.uk/","2020-04-15"
"Subaio","2020-04-15","","","Vertical applications, Financial Services","","https://subaio.com/","2020-04-15"
"Contovista","2020-04-15","","","Vertical applications, Financial Services","","https://www.contovista.com/","2020-04-15"
"Grapedata","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","https://www.grape-data.com/","2020-04-15"
"Asset Control","2020-04-15","","","Vertical applications, Financial Services","","http://www.asset-control.com/","2020-04-15"
"Evolution AI","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","http://evolution.ai/","2020-04-15"
"GFT Technologies","2020-04-15","","","Vertical applications, Financial Services","","http://www.gft.com/","2020-04-15"
"Jobs The Word","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Financial Services","","http://jobstheword.co.uk/","2020-04-15"
"Trality","2020-04-15","","","Vertical applications, Financial Services","","http://www.trality.com/","2020-04-15"
"StarTalers","2020-04-15","","","Vertical applications, Financial Services","","http://startalers.com/","2020-04-15"
"Netatmo ","2020-04-15","","","Vertical applications, Healthcare","","","2020-04-15"
"Withings","2020-04-15","","","Vertical applications, Healthcare","","http://www.withings.com/","2020-04-15"
"Kheiron Medical","2020-04-15","","","Vertical applications, Healthcare","","http://www.kheironmed.com","2020-04-15"
"Spacemaker AI","2020-04-15","","","Vertical applications, Other","","https://spacemaker.ai/","2020-04-15"
"Top Data Science","2020-04-15","","","Vertical applications, Healthcare","","http://topdatascience.com/","2020-04-15"
"Intrepid Analytics","2020-04-15","","","Vertical applications, Healthcare","","https://www.intrepid-analytics.com/","2020-04-15"
"NanoSight","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Healthcare","","http://www.nanosight.com/","2020-04-15"
"Pridiktiv NV","2020-04-15","","","Vertical applications, Healthcare","","https://into.care/","2020-04-15"
"Project MVP","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Healthcare","","","2020-04-15"
"Allergy Data Laboratories","2020-04-15","","","Vertical applications, Healthcare","","http://www.allergome.org/","2020-04-15"
"Geneix","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Healthcare","","http://www.geneix.com/","2020-04-15"
"Kolabtree","2020-04-15","","","Vertical applications, Healthcare","","https://www.kolabtree.com/","2020-04-15"
"Doctrin ","2020-04-15","","","Vertical applications, Healthcare","","https://doctrin.se/en/","2020-04-15"
"Ada Health","2020-04-15","","","Vertical applications, Healthcare","","https://ada.com/","2020-04-15"
"Inato ","2020-04-15","","","Vertical applications, Healthcare","","https://inato.com","2020-04-15"
"Heartbeat","2020-04-15","","","Vertical applications, Healthcare","","https://heartbeat-med.com/en/","2020-04-15"
"AMRA Medical","2020-04-15","","","Vertical applications, Healthcare","","https://www.amramedical.com/","2020-04-15"
"Beyond Verbal","2020-04-15","","","Vertical applications, Healthcare","","http://beyondverbal.com/","2020-04-15"
"Alacris Theranostics","2020-04-15","","","Vertical applications, Healthcare","","","2020-04-15"
"Innoplexus","2020-04-15","","","Vertical applications, Healthcare","","http://www.innoplexus.com/","2020-04-15"
"Exscientia","2020-04-15","","","Vertical applications, Healthcare","","https://www.exscientia.co.uk/","2020-04-15"
"Kry ","2020-04-15","","","Vertical applications, Healthcare","","https://kry.se/","2020-04-15"
"Oxford Nanopore Technologies","2020-04-15","","","Vertical applications, Healthcare","","https://nanoporetech.com/","2020-04-15"
"Virtuleap","2020-04-15","","","Vertical applications, Healthcare","","http://www.virtuleap.com/","2020-04-15"
"DEONTICS","2020-04-15","POINT (-3.435973 55.378051)","","Vertical applications, Healthcare","","http://www.deontics.com/","2020-04-15"
"Ignilife","2020-04-15","","","Vertical applications, Healthcare","","http://www.ignilife.com/en/","2020-04-15"
"Airgloss","2020-04-15","","","Vertical applications, Healthcare","","http://www.airglossproject.com/","2020-04-15"
"Katapult Accelerator","2020-04-15","","","Vertical applications, Healthcare","","http://katapultaccelerator.com/","2020-04-15"
